name,brand,price,sku,image_url,description,category,sub_category
Skinit Animal Prints Cheetah Controller Skin for Xbox One Elite,Skinit,15.99,254726,https://media.gamestop.com/i/gamestop/11127966/Skinit-Animal-Prints-Cheetah-Controller-Skin-for-Xbox-One-Elite?$pdp2x$,"The Animal Prints Xbox One Elite Controller Skin is made from a 3M durable auto-grade vinyl for an ultimate lightweight Xbox One Elite Controller decal protection without the bulk. Every Skinit Animal Prints skin is officially licensed by Skinit for an authentic brand design. The Animal Prints Cheetah Print Purple and Blue Microsoft Xbox One Elite Controller decal skin is engineered to feature vibrant photo quality designs and to perfectly fit your Xbox One Elite Controller The Animal Prints Cheetah Print Purple and Blue skin can be easily applied and removed from your Xbox One Elite Controller with no residue, no mess and no fuss due to 3M adhesive backing. This makes it even easier for you to mix up your Xbox One Elite Controller style as much as you want to keep your device feeling new. All Skinit made decal skins are cut and crafted with everyday Xbox One Elite Controller uses in mind so that each Animal Prints skin offers a premium feel with a thin functional protection. Shop all officially licensed Animal Prints Microsoft Xbox One Elite Controller skins made by Skinit and make it yours today!",Skins,Xbox One
Ridge Racer Unbounded Extended Pack: 3 Vehicles and 5 Paint Jobs,Bandai,3.99,522405,https://media.gamestop.com/i/gamestop/10103224/Ridge-Racer-Unbounded-Extended-Pack-3-Vehicles-and-5-Paint-Jobs?$pdp2x$,"A super sports car, 2 classic 60s machines and 5 paint jobs (PAC-MAN™, GALAGA™, TEKKEN™, SOULCALIBUR™, ACE COMBAT™), this pack has it all!",Video Games,PC Games
Skinit Auburn University Bold Logo Skin Bundle for PlayStation 5,Skinit,39.99,255446,https://media.gamestop.com/i/gamestop/11131902/Skinit-Auburn-University-Bold-Logo-Skin-Bundle-for-PlayStation-5?$pdp2x$,"The Auburn University PS5 Bundle Skin is made from a 3M durable auto-grade vinyl for an ultimate lightweight PS5 Bundle decal protection without the bulk. Every Skinit Auburn University skin is officially licensed by Collegiate Licensing Co for an authentic brand design. The Auburn University Auburn Bold Logo Sony PS5 Bundle decal skin is engineered to feature vibrant photo quality designs and to perfectly fit your PS5 Bundle The Auburn University Auburn Bold Logo skin can be easily applied and removed from your PS5 Bundle with no residue, no mess and no fuss due to 3M adhesive backing. This makes it even easier for you to mix up your PS5 Bundle style as much as you want to keep your device feeling new. All Skinit made decal skins are cut and crafted with everyday PS5 Bundle uses in mind so that each Auburn University skin offers a premium feel with a thin functional protection. Shop all officially licensed Auburn University Sony PS5 Bundle skins made by Skinit and make it yours today!",Skins,PlayStation 5
Call of Duty: Black Ops II Revolution,Activision,14.99,522917,https://media.gamestop.com/i/gamestop/10108151/Call-of-Duty-Black-Ops-II-Revolution?$pdp2x$,"The 21st Century Cold War is heating up. With technologically-advanced weaponry, drones and advanced robotics, Call of Duty®: Black Ops II redeploys with Revolution, a new downloadable content pack boasting 4 brand-new Multiplayer Maps:",Video Games,PC Games
Nintendo DS Teal GameStop Premium Refurbished,Recharged,49.99,909166,https://media.gamestop.com/i/gamestop/10107530/Nintendo-DS-Teal-GameStop-Premium-Refurbished?$pdp2x$,"Nintendo's latest innovation provides users with a unique game-play experience using features never before offered by any other home console or hand-held game system. This portable personal entertainment and communications unit provides owners with new perspectives on dual screens, new control using both touch and voice, and new connections with two kinds of wireless game play. It's a newfound canvas on which developers can express their creativity.",NDS,NDS
Skinit NHL Arizona Coyotes Skin Bundle for Xbox One,Skinit,39.99,257900,https://media.gamestop.com/i/gamestop/11133416/Skinit-NHL-Arizona-Coyotes-Skin-Bundle-for-Xbox-One?$pdp2x$,"The NHL Arizona Coyotes Xbox One Console and Controller Bundle Skin is made from a 3M durable auto-grade vinyl for an ultimate lightweight Xbox One Console and Controller Bundle decal protection without the bulk. Every Skinit Arizona Coyotes skin is officially licensed by National Hockey League, Enterprises for an authentic brand design. The Arizona Coyotes Arizona Coyotes Frozen Microsoft Xbox One Console and Controller Bundle decal skin is engineered to feature vibrant photo quality designs and to perfectly fit your Xbox One Console and Controller Bundle The Arizona Coyotes Arizona Coyotes Frozen skin can be easily applied and removed from your Xbox One Console and Controller Bundle with no residue, no mess and no fuss due to 3M adhesive backing. This makes it even easier for you to mix up your Xbox One Console and Controller Bundle style as much as you want to keep your device feeling new. All Skinit made decal skins are cut and crafted with everyday Xbox One Console and Controller Bundle uses in mind so that each Arizona Coyotes skin offers a premium feel with a thin functional protection. Shop all officially licensed NHL Arizona Coyotes Microsoft Xbox One Console and Controller Bundle skins made by Skinit and make it yours today!",Skins,Xbox One
Ouija the Mystical T-Shirt,Geeknet,19.99,222683,https://media.gamestop.com/i/gamestop/11106632/Ouija-the-Mystical-T-Shirt?$pdp2x$,"Our regular tee is an everyday staple. This pre-shrunk classic features zero side seams, and double-needle stitched sleeves giving your wardrobe the upgrade it deserves. 100% cotton (except Heathers). Officially Licensed Art by BarmalisRTB",Men's,T-Shirts
Greatest Rap Hits of The 1980's Boom Box Word Art Crewneck Sweatshirt,LA Pop Art,39.99,241025,https://media.gamestop.com/i/gamestop/11115984/Greatest-Rap-Hits-of-The-1980s-Boom-Box-Word-Art-Crewneck-Sweatshirt?$pdp2x$,"Created using some of the greatest rap hits of the 1980s
Before the MP3 and the IPOD there was the “Boom Box” also referred to as a “Ghetto Blaster.” The advancement of music technology has left the Boom Box looking like a dinosaur compared to the electronics of today. But there is one thing these advancements can’t take away and that is how important the Boom Box was in the popularization of Rap and Hip Hop in the 80’s. To think that in today’s world you plug in and escape into your own world; in the 1980’s it was the complete opposite. Put the cassette in, turn the knob up to 10, throw the Boom Box on your shoulder and head out. That’s how music caught on, that’s how Rap spread across the nation. You could hear a song playing on the other side of a park and run out that night to buy the cassette. It really is very hard to imagine HOW different things were only 20 years ago. But one thing has remained constant – there is no doubting the ground breaking Rap songs of the 1980’s.
 
To pay tribute to this amazing time in Music history, we have created this Boom Box T-shirt out of some of the greatest Rap hits of the 1980’s.
 
The songs include:

    Rappers Delight
    The Breaks
    The Message
    White Lines
    King of Rock
    Paul Revere
    Rock the bells
    The Show
    Boyz-N-The-Hood
    You Be illin'
    Walk This Way
    Brass Monkey
    You Gotta Fight For Your Right To Party
    Paid in Full
    Push It
    Children's Story
    Colors
    Fuck Tha Police
    Going Back to Cali
    It Takes Two
    Joy 'N Pain
    Parents Just Don't Understand
    Straight Outta Compton
    Supersonic
    Cars That Go Boom
    Bust A Move
    Fight The Power
    Funky cold medina
    Wild Thing
    Just A Friend
    Me Myself and I
    It’s tricky",Clothing,Jackets & Outerwear
Buffalo Games Honey Drip Farms 1000-pc Jigsaw Puzzle,Buffalo Games,14.99,296103,https://media.gamestop.com/i/gamestop/11160050/Buffalo-Games-Honey-Drip-Farms-1000-pc-Jigsaw-Puzzle?$pdp2x$,"This 1,000 piece jigsaw puzzle, Honey Drip Farm, shows the sun setting on the local farm and the families log cabin across the lake. You will enjoy piecing together this picturesque landscape of both nature and those that inhabit it. This puzzle is by Buffalo Games based on the artwork by Chuck Pinson.

Every Buffalo Games jigsaw puzzle is manufactured from recycled puzzle board. A precision cutting technique guarantees that every piece will fit soundly with the company's signature Perfect Snap™. A bonus puzzle poster is also included so that you have a handy reference of what the completed puzzle should look like while you put yours together.",Toys & Games,Puzzles
Green Carbon Fiber Skin Bundle for Xbox One,Skinit,39.99,258661,https://media.gamestop.com/i/gamestop/11129626/Green-Carbon-Fiber-Skin-Bundle-for-Xbox-One?$pdp2x$,"The Textures Xbox One Console and Controller Bundle Skin is made from a 3M durable auto-grade vinyl for an ultimate lightweight Xbox One Console and Controller Bundle decal protection without the bulk. Every Skinit Textures skin is officially licensed by Metallic Material for an authentic brand design. The Textures Green Carbon Fiber Microsoft Xbox One Console and Controller Bundle decal skin is engineered to feature vibrant photo quality designs and to perfectly fit your Xbox One Console and Controller Bundle The Textures Green Carbon Fiber skin can be easily applied and removed from your Xbox One Console and Controller Bundle with no residue, no mess and no fuss due to 3M adhesive backing. This makes it even easier for you to mix up your Xbox One Console and Controller Bundle style as much as you want to keep your device feeling new. All Skinit made decal skins are cut and crafted with everyday Xbox One Console and Controller Bundle uses in mind so that each Textures skin offers a premium feel with a thin functional protection. Shop all officially licensed Textures Microsoft Xbox One Console and Controller Bundle skins made by Skinit and make it yours today!",Skins,Xbox One
